City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,redding,40.5865,-122.3917,7.57,90,0,0.45,US,1675658080
157,asyut,27.181,31.1837,8.1,51,0,2.47,EG,1675658080
158,kendari,-3.945,122.4989,29.25,71,94,2.26,ID,1675658080
159,buala,-8.145,159.5921,24.86,93,100,4.7,SB,1675658081
160,victoria,22.2855,114.1577,22.76,83,98,3.13,HK,1675657953
161,inhambane,-23.865,35.3833,24.23,79,47,3.17,MZ,1675658081
162,northam,51.0333,-4.2167,2.56,89,12,2.91,GB,1675658081
163,bonthe,7.5264,-12.505,24.47,83,100,1.95,SL,1675658082
164,shakawe,-18.3667,21.85,19.56,92,95,1.14,BW,1675658082
165,arlit,18.7369,7.3853,19.26,17,35,3.49,NE,1675658083
166,tual,-5.6667,132.75,27.1,80,100,8.63,ID,1675658083
167,severo-kurilsk,50.6789,156.125,-2.72,64,100,9.3,RU,1675658003
168,ucluelet,48.9329,-125.5528,7.83,86,99,1.79,CA,1675657846
169,sooke,48.3746,-123.7276,8.65,92,100,6.21,CA,1675658083
170,nikolskoye,59.7035,30.7861,-2.06,98,100,1.41,RU,1675657978
171,kodinsk,58.6881,99.1844,-10.19,92,100,3.18,RU,1675658084
172,tarakan,3.3,117.6333,30.72,70,40,3.6,ID,1675658084
173,sangar,63.9242,127.4739,-36.89,96,100,1.86,RU,1675658085
174,bambous virieux,-20.3428,57.7575,28.45,78,40,3.6,MU,1675658085
175,mao,39.8885,4.2658,11.31,62,75,11.32,ES,1675658085
176,leshukonskoye,64.8989,45.7622,-22.26,100,100,2.28,RU,1675658085
177,omboue,-1.5746,9.2618,25.26,86,99,1.67,GA,1675658086
178,camapua,-19.5314,-54.0439,21.46,94,92,0.25,BR,1675658086
179,maroantsetra,-15.4333,49.7333,25.16,86,100,0.41,MG,1675658087
180,oulu,65.0124,25.4682,-10.94,58,0,2.06,FI,1675658087
181,oranjemund,-28.55,16.4333,17.49,94,98,2.48,NA,1675658087
182,arraial do cabo,-22.9661,-42.0278,23.51,88,53,1.89,BR,1675658088
183,xining,36.6167,101.7667,0.7,36,88,1.25,CN,1675658088
184,muskogee,35.5834,-95.3336,9.08,64,0,3.6,US,1675658088
185,xuchang,34.0167,113.8167,13.08,42,78,2.71,CN,1675658089
186,eydhafushi,5.1033,73.0708,27.22,77,100,5.25,MV,1675658089
187,kalat,29.0225,66.5916,6.57,35,0,3.14,PK,1675658089
188,ixtapa,20.7,-105.2,21.79,88,0,1.54,MX,1675658011
189,japoata,-10.3467,-36.8011,22.95,93,10,1.81,BR,1675658090
